Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14521378,iAmAbIrD,"2025-10-13 02:35:03",0.00000,2,paulnkamau
2,14536569,MachineSet,"2025-10-15 14:18:58",0.00000,1,machineset
3,14535581,sharan,"2025-10-16 10:10:51",0.00000,4,sharan012
4,14543162,"Mitudru Dutta","2025-10-17 15:17:18",0.00000,6,mitudru
5,14550493,Mehedi,"2025-10-23 17:04:06",0.00000,13,mehedithedreamer
6,14556371,ai_developer2024,"2025-10-18 23:32:24",0.00000,1,aideveloper2024
7,14565938,SwastikR@1001,"2025-10-20 16:55:20",0.00000,1,swastikr1001
8,14576413,"Martin Mbalkam","2025-10-22 11:59:17",0.00000,2,martinmbalkam
9,14569416,星光,"2025-10-24 04:34:20",0.00000,16,zhuguanghua
10,14577401,"GAURAV PARKHEDKAR","2025-10-23 18:16:19",0.00000,3,gauravparkhedkar
11,14504578,"Evil Spirit05","2025-10-30 12:24:44",0.00000,9,evilspirit05
12,14594427,"Arnav Gupta","2025-10-24 14:33:54",0.00000,5,mrarnav69
13,14599900,"sambhav dixit","2025-10-25 15:23:28",0.00000,1,sambhavdixit
14,14606096,ishhverma,"2025-10-26 22:14:50",0.00000,3,ishhverma
15,14628585,"AbdElaziz El7or","2025-10-30 05:48:25",0.00000,2,abdelazizel7or
16,14614789,"Yasin Mert Şahin","2025-10-30 08:18:12",0.00000,1,ymertsahin
17,14624823,"Dunbarin Odusi","2025-10-30 16:46:34",0.00000,4,dunbarinodusi
18,14642210,"Pinar Topuz","2025-11-01 08:11:57",0.00000,3,pinuto
19,14658413,Amer,"2025-11-04 05:20:33",0.00000,3,amerhu
20,14597326,"Brijesh Kishore Purohit","2025-11-05 07:13:06",0.00000,10,brijeshkipurohit108
21,14655088,"Shivansh Jha","2025-11-04 09:15:26",0.00000,4,lainnovic
22,14537416,"Fernando Liazar Luemba Salvador","2025-11-04 17:37:21",0.00000,3,fernandollsalvador
23,14539583,"Takfarines Guergueb","2025-10-23 02:53:37",0.00101,4,bachaboos
24,14584243,tasfuuu,"2025-11-05 06:08:07",0.08860,3,tasfuu17
25,14521533,"Chekhlov Dmitrii","2025-10-13 03:30:21",0.10000,1,zoli800
26,14662312,"Martin Szerment","2025-11-05 08:24:05",0.13345,2,martinszerment
27,14547143,"Alcance Chen","2025-10-18 11:30:08",0.16284,1,lau01b
28,14526132,"Kamran Ahmed","2025-10-16 08:17:40",0.33333,11,kami1976
29,14606679,MuChat007,"2025-10-27 16:26:03",0.40000,2,muchat007
30,14522799,DJ,"2025-10-27 18:20:14",0.40000,2,shendredm
31,14512768,"Engineer Wanga","2025-10-16 06:46:48",0.81805,1,wangapa106g
32,14521628,"Hu Xingyu","2025-10-13 13:49:11",1.00000,2,huxingyu
33,14523493,"surya milenial","2025-10-23 13:15:49",1.00000,12,suryamilenial
34,14579293,Avometre,"2025-10-22 19:26:29",1.00000,2,ohmetre
35,14579875,"AVIK MAZUMDER","2025-10-23 00:30:52",1.00000,1,avikjudemo
36,14539105,"SUJIB BARMAN","2025-10-28 16:16:33",1.00000,1,cardata
37,14569024,DINESHPADHAN2023,"2025-10-29 17:39:41",1.00000,1,dineshpadhan2023
38,14483306,"Morgan Urich","2025-10-31 03:57:09",1.00000,1,morganurich
39,14645672,1!,"2025-11-02 00:03:19",1.00000,1,ibrahimqasimi
40,14559405,"ishita bahamnia","2025-10-28 16:03:13",49.00000,2,ishitabahamnia
41,14529719,Lightning1,"2025-10-14 11:37:18",76.73607,1,dev4585
42,14637047,"M abdullah","2025-10-31 14:01:56",83.00000,5,abdullah0a
